student_id,CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected
1,6.87,7,0,0,4,3,2,7,Yes,Tier 2,0,7,5,9,3,1,4,4,Yes,1
2,9.75,4,4,2,3,3,6,1,Yes,Tier 2,3,2,8,8,3,9,8,5,Yes,1
3,8.66,2,1,1,2,1,4,6,Yes,Tier 2,4,1,5,2,2,1,3,2,Yes,1
4,7.99,5,4,2,8,8,10,8,No,Tier 2,1,5,5,9,2,7,10,1,Yes,1
5,5.78,3,2,2,4,9,1,7,Yes,Tier 3,4,7,3,8,7,8,6,5,Yes,1
6,5.78,9,5,1,2,5,1,5,No,Tier 3,2,9,4,8,3,7,4,4,No,0
7,5.29,6,3,1,9,1,2,4,Yes,Tier 1,4,7,9,1,10,2,2,5,Yes,1
8,9.33,1,2,0,8,1,4,2,Yes,Tier 3,2,5,9,2,3,6,1,2,No,0
9,8.01,3,5,2,5,9,8,1,No,Tier 1,0,5,3,3,6,8,9,4,No,0
10,8.54,4,0,1,8,1,3,1,No,Tier 1,4,5,5,8,2,8,4,4,Yes,1
11,5.1,9,0,2,5,9,5,5,Yes,Tier 3,4,4,8,4,3,8,9,0,No,1
12,9.85,6,4,1,7,3,3,9,No,Tier 1,4,3,5,1,8,9,7,3,Yes,1
13,9.16,4,2,2,5,3,8,7,No,Tier 1,3,1,7,5,8,3,1,1,Yes,1
14,6.06,1,0,0,5,4,4,2,Yes,Tier 2,0,4,10,6,10,2,10,3,No,0
15,5.91,8,1,2,4,5,8,6,Yes,Tier 3,4,1,3,5,3,2,5,0,Yes,0
16,5.92,2,1,1,5,6,8,10,Yes,Tier 2,1,8,2,2,6,3,6,3,Yes,0
17,6.52,8,3,3,7,6,9,7,Yes,Tier 3,0,3,2,8,8,9,8,2,No,1
18,7.62,6,4,0,3,10,2,8,Yes,Tier 1,4,0,9,4,6,5,6,0,No,1
19,7.16,8,0,0,4,9,10,9,Yes,Tier 2,5,9,1,8,2,4,8,2,No,1
20,6.46,6,3,3,8,1,7,3,No,Tier 3,1,0,1,8,7,1,1,5,Yes,0
21,8.06,5,1,1,6,9,10,2,Yes,Tier 1,5,9,2,5,6,1,3,0,Yes,1
22,5.7,5,3,0,8,4,1,7,No,Tier 3,3,4,6,2,6,6,1,2,No,0
23,6.46,10,3,3,2,7,4,8,Yes,Tier 1,1,7,6,10,9,7,9,2,Yes,0
24,6.83,10,0,3,9,6,4,9,Yes,Tier 2,0,6,6,7,3,10,5,1,Yes,0
25,7.28,8,0,2,7,9,4,10,Yes,Tier 1,0,6,6,2,1,3,3,4,No,1
26,8.93,7,0,2,5,2,7,5,No,Tier 2,2,4,6,5,4,9,2,0,Yes,1
27,6.0,8,4,1,7,2,5,9,Yes,Tier 2,2,8,8,3,1,6,7,1,Yes,1
28,7.57,8,3,3,2,7,5,1,Yes,Tier 3,2,4,6,3,5,4,2,1,Yes,1
29,7.96,7,3,2,4,9,3,9,Yes,Tier 2,3,0,9,1,6,3,3,4,No,1
30,5.23,2,4,1,7,5,10,10,No,Tier 3,0,4,5,1,8,5,6,2,Yes,1
31,8.04,9,1,0,2,7,5,5,Yes,Tier 2,3,2,4,4,3,6,4,4,Yes,1
32,5.85,7,2,2,8,8,5,2,Yes,Tier 1,0,2,1,9,3,7,8,5,No,1
33,5.33,6,1,1,10,8,8,6,Yes,Tier 2,5,4,2,5,3,7,7,0,Yes,1
34,9.74,9,4,2,10,4,2,1,Yes,Tier 2,2,0,4,9,4,7,7,1,Yes,1
35,9.83,1,3,0,5,10,8,7,No,Tier 2,2,7,9,10,3,4,3,5,Yes,1
36,9.04,2,3,0,5,7,4,7,Yes,Tier 1,1,8,4,6,9,7,8,2,Yes,1
37,6.52,1,0,2,8,1,9,10,No,Tier 2,5,9,8,6,8,9,8,0,Yes,1
38,5.49,10,0,0,1,4,8,8,No,Tier 3,5,3,2,3,9,6,8,0,No,0
39,8.42,3,3,1,6,5,5,1,Yes,Tier 2,5,0,1,4,6,3,4,4,Yes,0
40,7.2,5,3,2,2,10,5,2,Yes,Tier 1,2,1,9,7,6,1,3,5,Yes,1
41,5.61,1,5,2,1,7,9,1,Yes,Tier 1,2,6,10,4,4,9,3,2,No,1
42,7.48,4,0,0,7,6,5,8,Yes,Tier 1,4,0,6,2,6,2,3,0,No,0
43,5.17,8,0,1,4,4,9,8,No,Tier 2,0,2,10,4,9,3,5,5,Yes,1
44,9.55,6,1,2,1,3,6,3,Yes,Tier 2,2,6,5,4,5,8,5,4,Yes,1
45,6.29,1,3,2,10,6,1,10,Yes,Tier 3,4,3,3,10,6,6,9,5,Yes,1
46,8.31,1,3,0,6,10,8,2,Yes,Tier 2,4,9,9,8,6,10,1,0,Yes,1
47,6.56,3,4,0,10,5,1,9,Yes,Tier 3,4,3,2,10,8,4,1,0,Yes,0
48,7.6,10,1,1,6,3,2,5,Yes,Tier 3,5,0,10,10,9,7,5,5,Yes,1
49,7.73,8,2,1,3,4,6,9,Yes,Tier 1,5,7,8,8,9,6,2,0,Yes,1
50,5.92,8,2,0,6,2,5,2,No,Tier 2,5,3,4,3,5,9,6,2,Yes,1
51,9.85,3,2,1,10,9,2,6,Yes,Tier 2,2,8,7,4,1,2,3,2,Yes,1
52,8.88,7,5,3,9,7,6,1,Yes,Tier 2,3,4,8,7,4,5,4,2,Yes,0
53,9.7,3,0,3,6,10,7,7,Yes,Tier 2,3,5,1,5,5,2,4,2,Yes,1
54,9.47,4,2,0,1,3,3,4,Yes,Tier 3,5,5,10,2,6,1,6,2,No,0
55,7.99,9,4,2,10,8,8,7,No,Tier 3,0,8,1,4,4,1,5,3,No,1
56,9.61,4,0,0,6,8,4,9,Yes,Tier 1,3,2,9,8,4,2,10,1,Yes,1
57,5.44,3,0,0,8,1,10,1,No,Tier 1,2,5,9,2,9,7,2,3,Yes,1
58,5.98,5,2,0,7,5,9,1,Yes,Tier 2,0,8,10,7,5,10,4,5,No,1
59,5.23,7,0,2,8,5,7,7,Yes,Tier 3,0,7,1,2,1,9,5,0,Yes,1
60,6.63,5,1,3,8,3,3,10,No,Tier 2,5,6,5,5,10,4,5,1,Yes,0
61,6.94,4,1,1,9,2,5,2,No,Tier 1,0,3,4,10,7,9,10,1,Yes,0
62,6.36,8,2,3,3,1,9,8,Yes,Tier 1,1,4,10,10,9,7,2,0,No,0
63,9.14,4,4,1,7,4,9,4,Yes,Tier 2,2,6,4,2,8,4,1,0,No,1
64,6.78,2,0,1,6,10,8,7,No,Tier 2,5,5,2,3,9,10,7,1,No,1
65,6.4,10,3,0,2,2,8,10,Yes,Tier 2,2,4,5,3,4,10,3,5,Yes,1
66,7.71,6,2,0,5,5,9,2,Yes,Tier 2,3,8,2,4,6,10,5,1,No,1
67,5.7,2,5,1,3,10,5,8,Yes,Tier 1,3,4,3,4,1,9,9,0,Yes,1
68,9.01,3,0,2,5,2,9,6,Yes,Tier 2,2,5,8,2,6,6,2,4,Yes,1
69,5.37,1,2,2,9,1,6,1,No,Tier 2,1,9,9,4,8,7,8,0,Yes,1
70,9.93,5,2,2,8,10,6,9,Yes,Tier 2,4,6,9,7,7,8,5,2,Yes,1
71,8.86,9,4,2,9,10,10,2,Yes,Tier 3,1,1,7,1,1,3,7,5,Yes,0
72,5.99,2,3,0,9,10,6,4,No,Tier 2,1,4,4,6,4,7,7,4,Yes,0
73,5.03,7,0,3,8,10,7,9,Yes,Tier 1,3,5,9,8,2,10,4,3,Yes,1
