student_id,cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score
S0,6.87,Civil,1,1,1,0,0,15.6,4.3
S1,6.52,Civil,2,1,0,0,1,13.9,5.8
S2,5.33,IT,1,1,1,1,0,9.8,8.1
S3,6.04,Civil,3,1,0,1,0,39.5,9.6
S4,6.78,Mechanical,2,0,1,0,1,7.5,9.9
S5,9.57,CSE,1,1,0,0,0,66.9,8.0
S6,8.85,IT,3,1,1,0,0,10.8,4.2
S7,8.78,Mechanical,1,0,0,0,0,93.0,8.8
S8,6.78,Civil,3,1,0,0,0,35.3,5.8
S9,7.59,IT,2,1,0,1,1,25.2,7.0
S10,8.4,CSE,1,1,0,0,0,8.1,6.2
S11,6.6,ECE,2,0,0,0,1,1.7,7.1
S12,9.19,IT,1,1,1,0,0,69.6,5.4
S13,6.7,CSE,1,0,1,1,1,78.0,7.9
S14,6.53,CSE,2,1,0,1,0,1.8,7.0
S15,6.84,ECE,3,0,0,1,0,89.2,7.8
S16,8.84,CSE,3,0,1,0,0,88.3,8.5
S17,9.26,Mechanical,1,0,0,0,1,69.6,7.4
S18,5.68,CSE,3,1,1,0,0,25.6,7.7
S19,8.98,ECE,3,1,0,0,0,57.8,4.2
S20,5.19,Mechanical,2,0,1,0,1,27.2,9.8
S21,5.21,Civil,1,1,0,1,0,18.4,4.5
S22,6.4,Civil,1,1,1,0,1,42.0,5.5
S23,5.09,CSE,1,1,1,0,0,65.0,4.3
S24,5.35,EEE,2,1,0,0,1,57.5,6.3
S25,6.07,Civil,2,1,0,0,0,65.6,6.3
S26,8.68,ECE,2,1,0,0,1,80.7,9.9
S27,7.67,Civil,2,1,0,0,0,5.3,9.8
S28,6.47,Mechanical,3,0,1,1,1,79.0,4.5
S29,8.09,Mechanical,3,0,0,1,0,82.2,8.2
S30,7.96,IT,2,1,1,0,0,70.5,5.5
S31,8.73,ECE,3,1,1,0,0,86.9,5.3
S32,9.85,Civil,2,1,1,0,0,62.8,7.5
S33,8.23,IT,1,1,0,0,0,26.0,6.7
S34,9.55,ECE,2,1,1,1,1,41.8,9.6
S35,9.15,CSE,1,1,0,0,0,1.4,4.5
S36,9.72,Mechanical,3,1,0,0,0,95.4,7.6
S37,7.6,IT,3,1,1,0,1,40.3,4.8
S38,8.18,EEE,3,1,0,1,0,45.1,9.5
S39,9.9,IT,2,1,0,0,0,7.6,4.8
S40,7.58,IT,3,1,1,0,1,34.5,6.1
S41,9.0,Civil,3,1,0,1,1,6.1,5.7
S42,8.6,Mechanical,2,0,0,0,1,84.4,8.5
S43,6.61,IT,1,0,0,0,1,59.4,8.1
S44,6.42,CSE,1,1,1,0,0,98.7,7.6
S45,9.21,IT,3,0,0,0,1,89.7,7.5
